CAMPUS,BROWARD,BROWARD,BROWARD,BROWARD,BROWARD,EWU,EWU,EWU,EWU,EWU,FAMU,FAMU,FAMU,FAMU,FAMU,FAU (JUPITER),FAU (JUPITER),FAU (JUPITER),FAU (JUPITER),FAU (JUPITER),FIU,FIU,FIU,FIU,FIU,FSCJ,FSCJ,FSCJ,FSCJ,FSCJ,FSU,FSU,FSU,FSU,FSU,IRSC (PRUITT),IRSC (PRUITT),IRSC (PRUITT),IRSC (PRUITT),IRSC (PRUITT),MDC (KENDALL),MDC (KENDALL),MDC (KENDALL),MDC (KENDALL),MDC (KENDALL),MDC (NORTH),MDC (NORTH),MDC (NORTH),MDC (NORTH),MDC (NORTH),SANTA FE,SANTA FE,SANTA FE,SANTA FE,SANTA FE,UCF,UCF,UCF,UCF,UCF,UF,UF,UF,UF,UF,USF,USF,USF,USF,USF,UWF,UWF,UWF,UWF,UWF,VALENCIA,VALENCIA,VALENCIA,VALENCIA,VALENCIA,
PARTY,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,DEM,GOP,NPA,OTHER,TOTAL,
21-Oct,112,87,65,11,275,243,18,20,6,287,110,0,37,4,151,138,426,151,24,739,244,349,207,9,809,349,337,127,21,834,394,207,190,25,816,322,707,189,33,"1,251",190,316,137,13,656,179,59,54,6,298,133,77,53,6,269,166,92,101,12,371,290,85,118,12,505,54,34,17,2,107,173,256,83,10,522,286,329,187,19,821,
22-Oct,247,192,152,23,614,442,34,38,7,521,241,1,70,8,320,287,845,290,45,"1,467",495,792,444,35,"1,766",602,686,248,44,"1,580",836,415,403,53,"1,707",597,"1,328",417,74,"2,416",339,639,320,31,"1,329",326,106,123,10,565,270,183,109,16,578,340,168,194,26,728,589,178,243,27,"1,037",114,57,45,4,220,311,488,139,20,958,560,601,353,48,"1,562",
23-Oct,366,293,252,31,942,619,41,65,11,736,400,2,113,10,525,440,"1,236",451,64,"2,191",719,"1,243",727,64,"2,753",861,"1,008",379,70,"2,318","1,310",696,662,91,"2,759",839,"1,915",595,98,"3,447",508,"1,004",499,48,"2,059",462,167,194,12,835,446,310,188,25,969,550,279,300,39,"1,168",866,295,391,44,"1,596",183,79,84,9,355,450,689,202,37,"1,378",811,921,559,74,"2,365",
24-Oct,515,397,346,44,"1,302",744,46,74,13,877,576,8,170,14,768,582,"1,546",615,95,"2,838",956,"1,700","1,022",86,"3,764","1,081","1,336",527,88,"3,032","1,703",909,919,133,"3,664","1,073","2,406",789,132,"4,400",670,"1,334",687,65,"2,756",675,296,344,30,"1,345",603,431,254,34,"1,322",760,376,429,54,"1,619","1,180",425,562,69,"2,236",265,108,122,17,512,551,854,256,48,"1,709","1,045","1,214",760,90,"3,109",
25-Oct,663,522,441,55,"1,681",901,49,83,16,"1,049",751,15,215,17,998,733,"1,977",787,114,"3,611","1,222","2,179","1,347",121,"4,869","1,310","1,673",670,110,"3,763","2,061","1,094","1,115",166,"4,436","1,359","3,011","1,012",166,"5,548",847,"1,715",918,88,"3,568",866,372,431,35,"1,704",775,582,327,40,"1,724","1,019",582,586,71,"2,258","1,547",539,750,100,"2,936",339,146,157,24,666,661,"1,042",342,60,"2,105","1,337","1,548","1,006",110,"4,001",
26-Oct,807,636,552,65,"2,060","1,038",51,102,18,"1,209",792,16,225,18,"1,051",877,"2,264",923,127,"4,191","1,442","2,849","1,640",144,"6,075","1,613","1,963",859,140,"4,575","2,206","1,181","1,188",186,"4,761","1,548","3,395","1,159",185,"6,287","1,044","2,184","1,184",112,"4,524","1,083",470,536,46,"2,135",927,679,386,46,"2,038","1,140",696,690,76,"2,602","1,653",580,797,104,"3,134",386,168,188,33,775,773,"1,146",409,70,"2,398","1,574","1,796","1,241",131,"4,742",
27-Oct,934,751,646,77,"2,408","1,143",54,115,18,"1,330",810,19,231,18,"1,078","1,006","2,473","1,091",139,"4,709","1,632","3,497","1,958",166,"7,253","1,810","2,170","1,016",157,"5,153","2,311","1,243","1,257",198,"5,009","1,742","3,762","1,288",214,"7,006","1,250","2,614","1,436",130,"5,430","1,284",565,623,50,"2,522","1,017",738,428,54,"2,237","1,328",842,820,88,"3,078","1,741",610,852,107,"3,310",417,187,208,36,848,810,"1,198",448,71,"2,527","1,813","2,074","1,503",150,"5,540",
28-Oct,"1,112",880,788,94,"2,874","1,321",60,137,19,"1,537",970,21,280,21,"1,292","1,141","2,902","1,303",182,"5,528","1,911","3,986","2,289",195,"8,381","2,095","2,506","1,190",181,"5,972","2,667","1,481","1,486",238,"5,872","2,043","4,277","1,520",250,"8,090","1,439","2,965","1,675",149,"6,228","1,501",690,753,65,"3,009","1,173",836,519,69,"2,597","1,600","1,029",978,102,"3,709","2,152",774,"1,069",136,"4,131",521,227,277,47,"1,072",952,"1,380",530,83,"2,945","2,047","2,374","1,782",177,"6,380",
29-Oct,"1,309","1,021",964,108,"3,402","1,479",67,151,22,"1,719","1,158",25,336,27,"1,546","1,334","3,334","1,498",213,"6,379","2,196","4,449","2,642",223,"9,510","2,369","2,835","1,384",225,"6,813","3,110","1,817","1,769",281,"6,977","2,316","4,749","1,743",286,"9,094","1,659","3,347","1,979",163,"7,148","1,769",801,918,81,"3,569","1,330",951,618,83,"2,982","1,886","1,191","1,163",129,"4,369","2,621",951,"1,332",176,"5,080",673,287,368,61,"1,389","1,065","1,558",614,111,"3,348","2,346","2,715","2,062",203,"7,326",
30-Oct,"1,531","1,188","1,156",126,"4,001","1,628",72,177,29,"1,906","1,299",28,377,31,"1,735","1,517","3,771","1,744",254,"7,286","2,516","4,891","3,069",253,"10,729","2,672","3,133","1,598",264,"7,667","3,576","2,130","2,097",331,"8,134","2,578","5,125","1,973",322,"9,998","1,861","3,651","2,263",188,"7,963","2,040",912,"1,094",94,"4,140","1,505","1,073",725,97,"3,400","2,177","1,360","1,354",160,"5,051","3,192","1,170","1,666",230,"6,258",848,366,475,72,"1,761","1,210","1,705",693,124,"3,732","2,641","3,017","2,378",248,"8,284",
31-Oct,"1,761","1,331","1,369",153,"4,614","1,757",79,193,29,"2,058","1,489",30,435,40,"1,994","1,681","4,187","1,981",290,"8,139","2,822","5,259","3,444",294,"11,819","2,957","3,393","1,776",299,"8,425","3,974","2,396","2,385",388,"9,143","2,798","5,504","2,193",353,"10,848","2,063","3,962","2,536",214,"8,775","2,285",994,"1,250",101,"4,630","1,638","1,188",821,112,"3,759","2,453","1,515","1,569",182,"5,719","3,747","1,372","2,052",291,"7,462","1,041",444,621,97,"2,203","1,329","1,877",772,135,"4,113","2,884","3,353","2,697",264,"9,198",
1-Nov,"2,013","1,514","1,599",169,"5,295","1,923",90,217,34,"2,264","1,650",35,487,43,"2,215","1,872","4,623","2,238",326,"9,059","3,135","5,695","3,877",333,"13,040","3,353","3,760","2,073",342,"9,528","4,419","2,648","2,722",436,"10,225","3,097","5,963","2,461",388,"11,909","2,348","4,301","2,894",247,"9,790","2,577","1,147","1,459",114,"5,297","1,868","1,339",936,135,"4,278","2,795","1,680","1,853",214,"6,542","4,376","1,566","2,476",344,"8,762","1,268",521,760,117,"2,666","1,492","2,064",907,165,"4,628","3,174","3,670","3,030",301,"10,175",
2-Nov,"2,286","1,656","1,784",184,"5,910","2,100",97,245,40,"2,482","1,699",36,502,44,"2,281","2,109","4,998","2,512",354,"9,973","3,461","6,163","4,365",384,"14,373","3,707","4,057","2,352",383,"10,499","4,654","2,759","2,853",457,"10,723","3,437","6,390","2,724",425,"12,976","2,609","4,674","3,298",271,"10,852","2,963","1,304","1,716",134,"6,117","2,091","1,478","1,066",152,"4,787","3,145","1,850","2,097",251,"7,343","4,794","1,747","2,779",379,"9,699","1,449",609,886,136,"3,080","1,690","2,239","1,037",181,"5,147","3,456","3,950","3,400",331,"11,137",
3-Nov,"2,658","1,871","2,079",215,"6,823","2,340",110,279,43,"2,772","1,953",46,589,48,"2,636","2,320","5,379","2,821",385,"10,905","3,889","6,721","4,893",427,"15,930","4,101","4,398","2,647",432,"11,578","5,267","3,106","3,339",532,"12,244","3,718","6,722","2,969",457,"13,866","2,954","5,106","3,786",309,"12,155","3,460","1,515","2,027",158,"7,160","2,364","1,648","1,263",174,"5,449","3,618","2,080","2,488",302,"8,488","5,347","1,956","3,257",427,"10,987","1,744",703,"1,095",168,"3,710",,,,,,"3,805","4,264","3,790",376,"12,235",